<h1>Förkortningar</h1>

ABA 		A-B Aerotransport
AbessHSO 	Abessinska Haile Selassieorden
AbessKM 	Abessinsk minnesmedalj med anledning av Kejsar Haile Selassie I:s kröning
AbessMenO 	Abessinska Menelikorden
AbessSO 	Abessinska Stjärnorden
AbessTO 	Abessinska Treenighetsorden
ABF 		Arbetarnas Bildningsförbund
ACO 		Amerikanska Cincinnatiorden
AG 		Aktiengesellschaft
AHM 		Amerikansk hedersmedalj
AIHS (ak, hk) 	Artilleri- och Ingenjörshögskolan (allmän kurs, högre kurs)
AIWO 		Amerikanska Indian Wars orden
A. K. 		ledamot av riksdagens andra kammare
AlbScO 		Albanska Scanderbegorden
ALLO 		Amerikanska Loyal Legion orden
AnhABjO 	Anhaltska husorden Albrecht Björnen
AnnamDO 	Annamitiska Drakorden
ArtSS 		Artilleriets skjutskola
A/S 		Actieselskab
ASdeCO 		Amerikanska Santiago de Cuba orden
ASP 		Allmänna Svenska Prästföreningen
AssocL 		associerad ledamot av
AU 		arbetsutskott
AUS 		Arméns underofficersskola
BadBI:sZO 	Badiska Berthold den I:s av Zähringen orden
BadFidelO 	Badiska orden Fidelitas
BadFrLM 	Badiska Friedrich-Luisemedaljen
BadKrHjM 	Badiska krigshjälpsmedaljen
BadZLO 		Badiska Zähringer Löwenorden
BayKrO 		Bayerska kronans Civilförtjänstorden
BayMfO 		Bayerska Militärförtjänstorden
BayS:tMO 	Bayerska Sankt Mikaelsorden
BayThO 		Bayerska Theresiaorden
BB 		Barnbördshus(et)
BdeMagr 	Belgiska orden de Mérite agricole
BESO 		Belgiska (Kongostatens) Etoile de Service orden
bg (Spb) 	för berömliga gärningar (Spetsbergsexpeditionen 1928)
BKrO 		Belgiska Kronorden
BLejO 		Belgiska (Kongostatens) Lejonorden
BLeopO 		Belgiska Leopoldsorden
BLeopII:sO 	Belgiska Leopold II:s orden
BM 		bronsmedalj
Bm 		bronsmärke
BMilK 		Belgiska Militärkorset
BolKO 		Bolivianska Kondororden
br 		för förtjänst om brandväsendet
BrasRosO 	Brasilianska Rosenorden
BrasSKO 	Brasilianska Södra korsets orden
BraunHLO 	Braunschweigska husorden Henrik Lejonet
BulgCfO 	Bulgariska Civilförtjänstorden

